CalisanNo,AdSoyad,BrutMatrah,BesPuanUygun,IlaveUygun,KadinGencUygun,EngelliUygun,MevcutKod,HesapYili,Yorum
1,Ali Yılmaz,25000,Evet,Hayır,Hayır,Hayır,TBA-001,2025,A
2,Ayşe Demir,22000,Evet,Evet,Hayır,Hayır,TBA-001,2025,A
3,Mehmet Kaya,28000,Evet,Hayır,Evet,Hayır,TBA-004,2025,A
4,Zeynep Arslan,20000,Hayır,Evet,Hayır,Hayır,YOK,2025,A
5,Can Öztürk,30000,Evet,Evet,Hayır,Evet,TBA-001,2025,A
6,Elif Şahin,18000,Evet,Hayır,Evet,Hayır,TBA-001,2025,A
7,Burak Çelik,35000,Evet,Evet,Hayır,Hayır,TBA-002,2025,A
8,Selin Aydın,24000,Hayır,Hayır,Evet,Hayır,YOK,2025,A
9,Emre Koç,27000,Evet,Hayır,Hayır,Evet,TBA-001,2025,A
10,Deniz Yıldız,21000,Evet,Evet,Evet,Hayır,TBA-001,2025,A
